D0%20Bunker	-1358291	0.9988983,0.0167808;0.9985185,0.0206363;0.9973939,0.0243436;0.9955676,0.0277604;0.9931099,0.0307551;0.9901151,0.0332129;0.9866984,0.0350392;0.9829910,0.0361638;0.9791355,0.0365435;0.9752800,0.0361638;0.9715726,0.0350392;0.9681559,0.0332129;0.9651611,0.0307551;0.9627034,0.0277604;0.9608771,0.0243436;0.9597525,0.0206363;0.9593728,0.0167808;0.9597525,0.0129252;0.9608771,0.0092179;0.9627034,0.0058012;0.9651611,0.0028064;0.9681559,0.0003486;0.9715726,-0.0014776;0.9752800,-0.0026023;0.9791355,-0.0029820;0.9829910,-0.0026023;0.9866984,-0.0014776;0.9901151,0.0003486;0.9931099,0.0028064;0.9955676,0.0058012;0.9973939,0.0092179;0.9985185,0.0129252
Military%20Airfield	-993486	0.1361687,0.0347306;0.1352002,0.0445639;0.1323319,0.0540194;0.1276741,0.0627336;0.1214057,0.0703716;0.1137677,0.0766400;0.1050535,0.0812978;0.0955980,0.0841661;0.0857647,0.0851346;0.0759314,0.0841661;0.0664760,0.0812978;0.0577618,0.0766400;0.0501237,0.0703716;0.0438554,0.0627336;0.0391975,0.0540194;0.0363292,0.0445639;0.0353607,0.0347306;0.0363292,0.0248973;0.0391975,0.0154418;0.0438554,0.0067277;0.0501237,-0.0009104;0.0577618,-0.0071788;0.0664760,-0.0118366;0.0759314,-0.0147049;0.0857647,-0.0156734;0.0955980,-0.0147049;0.1050535,-0.0118366;0.1137677,-0.0071788;0.1214057,-0.0009104;0.1276741,0.0067277;0.1323319,0.0154418;0.1352002,0.0248973
Gornji%20Humac	-6895376	0.2483399,0.0728058;0.2479579,0.0766841;0.2468267,0.0804133;0.2449896,0.0838502;0.2425174,0.0868626;0.2395049,0.0893349;0.2360680,0.0911720;0.2323388,0.0923032;0.2284605,0.0926852;0.2245822,0.0923032;0.2208530,0.0911720;0.2174161,0.0893349;0.2144037,0.0868626;0.2119314,0.0838502;0.2100943,0.0804133;0.2089631,0.0766841;0.2085811,0.0728058;0.2089631,0.0689275;0.2100943,0.0651983;0.2119314,0.0617614;0.2144037,0.0587489;0.2174161,0.0562767;0.2208530,0.0544396;0.2245822,0.0533084;0.2284605,0.0529264;0.2323388,0.0533084;0.2360680,0.0544396;0.2395049,0.0562767;0.2425174,0.0587489;0.2449896,0.0617614;0.2468267,0.0651983;0.2479579,0.0689275
D3%20Bunker	-1358291	0.3308889,0.0452023;0.3305390,0.0487546;0.3295029,0.0521703;0.3278203,0.0553182;0.3255559,0.0580774;0.3227967,0.0603418;0.3196487,0.0620244;0.3162330,0.0630606;0.3126808,0.0634104;0.3091286,0.0630606;0.3057129,0.0620244;0.3025649,0.0603418;0.2998057,0.0580774;0.2975413,0.0553182;0.2958587,0.0521703;0.2948226,0.0487546;0.2944727,0.0452023;0.2948226,0.0416501;0.2958587,0.0382344;0.2975413,0.0350865;0.2998057,0.0323273;0.3025649,0.0300629;0.3057129,0.0283803;0.3091286,0.0273441;0.3126808,0.0269943;0.3162330,0.0273441;0.3196487,0.0283803;0.3227967,0.0300629;0.3255559,0.0323273;0.3278203,0.0350865;0.3295029,0.0382344;0.3305390,0.0416501
Lumber%20Mill	-6895376	0.4875562,0.0785566;0.4871801,0.0823751;0.4860663,0.0860468;0.4842576,0.0894307;0.4818235,0.0923967;0.4788575,0.0948308;0.4754736,0.0966395;0.4718019,0.0977533;0.4679835,0.0981294;0.4641650,0.0977533;0.4604933,0.0966395;0.4571095,0.0948308;0.4541435,0.0923967;0.4517093,0.0894307;0.4499006,0.0860468;0.4487868,0.0823751;0.4484107,0.0785566;0.4487868,0.0747382;0.4499006,0.0710665;0.4517093,0.0676826;0.4541435,0.0647166;0.4571095,0.0622825;0.4604933,0.0604738;0.4641650,0.0593600;0.4679835,0.0589839;0.4718019,0.0593600;0.4754736,0.0604738;0.4788575,0.0622825;0.4818235,0.0647166;0.4842576,0.0676826;0.4860663,0.0710665;0.4871801,0.0747382
Gorica	-6895376	0.6362822,0.0392092;0.6359481,0.0426012;0.6349587,0.0458628;0.6333520,0.0488687;0.6311898,0.0515034;0.6285551,0.0536656;0.6255493,0.0552723;0.6222876,0.0562617;0.6188957,0.0565958;0.6155038,0.0562617;0.6122422,0.0552723;0.6092363,0.0536656;0.6066016,0.0515034;0.6044394,0.0488687;0.6028327,0.0458628;0.6018433,0.0426012;0.6015092,0.0392092;0.6018433,0.0358173;0.6028327,0.0325557;0.6044394,0.0295498;0.6066016,0.0269151;0.6092363,0.0247529;0.6122422,0.0231462;0.6155038,0.0221568;0.6188957,0.0218227;0.6222876,0.0221568;0.6255493,0.0231462;0.6285551,0.0247529;0.6311898,0.0269151;0.6333520,0.0295498;0.6349587,0.0325557;0.6359481,0.0358173
D1%20Abandoned%20Bunker	-1358291	0.7798875,0.0497409;0.7794994,0.0536810;0.7783502,0.0574697;0.7764838,0.0609613;0.7739722,0.0640218;0.7709118,0.0665334;0.7674201,0.0683997;0.7636314,0.0695490;0.7596914,0.0699371;0.7557513,0.0695490;0.7519626,0.0683997;0.7484710,0.0665334;0.7454105,0.0640218;0.7428989,0.0609613;0.7410325,0.0574697;0.7398833,0.0536810;0.7394952,0.0497409;0.7398833,0.0458009;0.7410325,0.0420122;0.7428989,0.0385206;0.7454105,0.0354601;0.7484710,0.0329485;0.7519626,0.0310821;0.7557513,0.0299329;0.7596914,0.0295448;0.7636314,0.0299329;0.7674201,0.0310821;0.7709118,0.0329485;0.7739722,0.0354601;0.7764838,0.0385206;0.7783502,0.0420122;0.7794994,0.0458009
Military%20Barracks	-993486	0.9514045,0.0387154;0.9875767,0.0387154;0.9875767,0.0832342;0.9514045,0.0832342
Prigorje	-6895376	0.7716150,0.0959294;0.7713056,0.0990700;0.7703896,0.1020898;0.7689020,0.1048729;0.7669000,0.1073123;0.7644606,0.1093143;0.7616774,0.1108019;0.7586576,0.1117180;0.7555171,0.1120273;0.7523765,0.1117180;0.7493567,0.1108019;0.7465736,0.1093143;0.7441341,0.1073123;0.7421321,0.1048729;0.7406446,0.1020898;0.7397285,0.0990700;0.7394192,0.0959294;0.7397285,0.0927889;0.7406446,0.0897690;0.7421321,0.0869859;0.7441341,0.0845465;0.7465736,0.0825445;0.7493567,0.0810569;0.7523765,0.0801408;0.7555171,0.0798315;0.7586576,0.0801408;0.7616774,0.0810569;0.7644606,0.0825445;0.7669000,0.0845465;0.7689020,0.0869859;0.7703896,0.0897690;0.7713056,0.0927889
Ston	-6895376	0.0442450,0.1849833;0.0439514,0.1879641;0.0430819,0.1908303;0.0416700,0.1934719;0.0397698,0.1957872;0.0374545,0.1976873;0.0348130,0.1990993;0.0319467,0.1999687;0.0289659,0.2002623;0.0259852,0.1999687;0.0231189,0.1990993;0.0204774,0.1976873;0.0181621,0.1957872;0.0162619,0.1934719;0.0148500,0.1908303;0.0139805,0.1879641;0.0136869,0.1849833;0.0139805,0.1820025;0.0148500,0.1791363;0.0162619,0.1764947;0.0181621,0.1741794;0.0204774,0.1722793;0.0231189,0.1708673;0.0259852,0.1699979;0.0289659,0.1697043;0.0319467,0.1699979;0.0348130,0.1708673;0.0374545,0.1722793;0.0397698,0.1741794;0.0416700,0.1764947;0.0430819,0.1791363;0.0439514,0.1820025
Samobor	-6895376	0.2465220,0.1669330;0.2455482,0.1768198;0.2426644,0.1863267;0.2379812,0.1950882;0.2316787,0.2027678;0.2239991,0.2090703;0.2152376,0.2137534;0.2057307,0.2166373;0.1958439,0.2176111;0.1859571,0.2166373;0.1764502,0.2137534;0.1676887,0.2090703;0.1600091,0.2027678;0.1537066,0.1950882;0.1490235,0.1863267;0.1461396,0.1768198;0.1451658,0.1669330;0.1461396,0.1570462;0.1490235,0.1475393;0.1537066,0.1387777;0.1600091,0.1310982;0.1676887,0.1247957;0.1764502,0.1201125;0.1859571,0.1172287;0.1958439,0.1162549;0.2057307,0.1172287;0.2152376,0.1201125;0.2239991,0.1247957;0.2316787,0.1310982;0.2379812,0.1387777;0.2426644,0.1475393;0.2455482,0.1570462
